tlg_author_id,tlg_work_id,corpus,cts_urn,corpus_author,corpus_title,edition_description,language,word_count,text_url,metadata_url,license,source_revision,in_printed_inventory,match_method,match_confidence,verification_status
0007,005,Perseus,urn:cts:greekLit:tlg0007.tlg005.perseus-grc2,Plutarch,Νομᾶς,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg005.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg005/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,006,Perseus,urn:cts:greekLit:tlg0007.tlg006.perseus-grc2,Plutarch,Λυκούργου καὶ Νομᾶ σύγκρισις,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg006.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg006/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,007,Perseus,urn:cts:greekLit:tlg0007.tlg007.perseus-grc2,Plutarch,Σόλων,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg007.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg007/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,008,Perseus,urn:cts:greekLit:tlg0007.tlg008.perseus-grc2,Plutarch,Ποπλικόλας,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg008.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg008/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,009,Perseus,urn:cts:greekLit:tlg0007.tlg009.perseus-grc2,Plutarch,Σόλωνος καὶ Ποπλικόλα σύγκρισις,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg009.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg009/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,010,Perseus,urn:cts:greekLit:tlg0007.tlg010.perseus-grc2,Plutarch,Θεμιστοκλῆς,"Plutarch. Plutarch's Lives, Vol. II. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg010.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg010/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,011,Perseus,urn:cts:greekLit:tlg0007.tlg011.perseus-grc2,Plutarch,Κάμιλλος,"Plutarch. Plutarch's Lives, Vol. II. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg011.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg011/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,012,Perseus,urn:cts:greekLit:tlg0007.tlg012.perseus-grc2,Plutarch,Περικλῆς,"Plutarch. Plutarch's Lives, Vol. III. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1916.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg012.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg012/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,013,Perseus,urn:cts:greekLit:tlg0007.tlg013.perseus-grc2,Plutarch,Φάβιος Μάξιμος,"Plutarch. Plutarch's Lives, Vol. III. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg013.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg013/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,014,Perseus,urn:cts:greekLit:tlg0007.tlg014.perseus-grc2,Plutarch,Περικλέους καὶ Φαβίου σύγκρισις,"Plutarch. Plutarch's Lives, Vol. III. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1916.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg014.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg014/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
